Organization,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Havard,ZEBRAFISH MODELS OF MUSCULAR DYSTROPHIES,NINDS,8690187,5F31NS081928-03,5,F31,NS,81928,3,,,11117914,"SMITH, LAURA LINDSAY",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,30097,
Havard,MECHANISTIC ANALYSIS OF AGE-INDUCED CHANGES IN PROTEIN HEMOSTASIS,NIA,8676430,5F31AG044967-02,5,F31,AG,44967,2,,,11344629,"SOLIS, ERIC JOHN",Not Applicable,HARVARD UNIVERSITY, ,2014,30127,
Havard,ORGANOGENESIS OF THE PHARYNX IN C ELEGANS,NIGMS,8889561,3R37GM056264-18S1,3,R37,GM,56264,18,S1,,1860974,"MANGO, SUSAN E",Not Applicable,HARVARD UNIVERSITY, ,2014,33800,
Havard,KATANIN P80: A ROLE FOR REGULATION OF MICROTUBULE SEVERING IN CORTICAL DEVELOPMEN,NINDS,8658299,5F31NS083111-02,5,F31,NS,83111,2,,,12103556,"HU, WEN FAN",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34338,
Havard,ANALYZING THE EFFICACY OF GALECTIN-1 LIGAND INHIBITION IN ADOPTIVE T CELL THERAPY,NCI,8549713,5F31CA171520-02,5,F31,CA,171520,2,,,11194922,"SWEENEY, JENNA GEDDES",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34366,
Havard,MECHANISMS OF SENSORY NEURON CONTROL OVER SKIN IMMUNE RESPONSES,NIAMS,8711289,5F31AR063546-03,5,F31,AR,63546,3,,,11121465,"ORDOVAS-MONTANES, JOSE MANUEL",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34367,
Havard,CHEMICAL SUPPRESSORS OF THE NEURAL CREST LINEAGE FOR THE TREATMENT OF MELANOMA,NCI,8702912,5F31CA180313-02,5,F31,CA,180313,2,,,11638634,"CIARLO, CHRISTIE ANNE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,INDUCTION OF TUMOR SUPPRESSOR P16INK4A BY HUMAN PAPILLOMAVIRUS 16 E7 ONCOPROTEIN,NCI,8709168,1F31CA180012-01A1,1,F31,CA,180012,1,A1,,11626613,"GWIN, TYSHIA KYREE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,PERTURBATION OF A CELLULAR MICRORNA BY HUMAN PAPILLOMAVIRUS TYPE 16.,NCI,8704721,5F31CA180516-02,5,F31,CA,180516,2,,,11626611,"HARDEN, MALLORY ELLEN",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,FUNCTION-SPECIFIC SEROTONERGIC NEURONS AND BODY TEMPERATURE REGULATION.,NINDS,8712658,1F31NS083165-01A1,1,F31,NS,83165,1,A1,,10159373,"HENNESSY, MORGAN L",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,IDENTIFYING SIGNALING AND ANTI-APOPTOTIC DEPENDENCIES IN ACUTE MYELOID LEUKEMIA,NCI,8710756,1F31CA186301-01,1,F31,CA,186301,1,,,10780588,"HOGDAL, LEAH JUSTINE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,CHARACTERIZING CELL SURVIVAL PATHWAYS DOWNSTREAM OF MTORC1 IN CANCER,NCI,8709172,1F31CA186295-01,1,F31,CA,186295,1,,,11652414,"KELSEY, ILANA ASHLEY",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,NEURONAL MECHANISMS OF ATTENTION: CHANGES IN SENSITIVITY AND DECISION CRITERION,NIMH,8712655,1F31MH103895-01,1,F31,MH,103895,1,,,11165701,"LUO, ZHIHAO ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34543,
Havard,REGULATION OF MITOCHONDRIAL RELEASE FROM MICROTUBULES DURING CELL DIVISION,NIGMS,8724977,5F31GM108199-02,5,F31,GM,108199,2,,,11614326,"CHUNG, JAROM Y",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34573,
Havard,DISSECTING THE ROLE OF CELLULAR TRANSPORT IN NEURODEGENERATION USING A.NIDULANS,NINDS,8632842,5F31NS083142-02,5,F31,NS,83142,2,,,11166459,"MCCLINTOCK, MARK ALAN",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34573,
Havard,THE ROLE OF SWI/SNF ALTERNATIVE SPLICING IN CANCER,NCI,8743815,5F31CA183558-02,5,F31,CA,183558,2,,,11598282,"OBERLICK, ELAINE MARIE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34785,
Havard,EXPLORING THE REGENERATIVE CAPACITY OF NEURONS IN THE AXOLOTL BRAIN.,NINDS,8779976,1F31NS089336-01,1,F31,NS,89336,1,,,11614317,"AMAMOTO, RYOJI ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,MECHANISMS UNDERLYING THE SUPPRESSION OF TRANSCYTOSIS AT THE BLOOD BRAIN BARRIER,NINDS,8830634,1F31NS090669-01,1,F31,NS,90669,1,,,11632023,"ANDREONE, BENJAMIN JOSEPH",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,INVESTIGATING HOST PROTEIN INTERACTIONS OF THE HUMAN PAPILLOMAVIRUS E2 PROTEIN,NCI,8784626,1F31CA189512-01,1,F31,CA,189512,1,,,10857252,"BENTLEY, PERIS NICOLE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,INVESTIGATING THE MECHANISM OF B-MYB DEPENDENT GENE EXPRESSION,NCI,8778414,1F31CA189328-01,1,F31,CA,189328,1,,,11978424,"BRANIGAN, TIMOTHY BRUCE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,CELL BIOLOGICAL MECHANISMS OF PACLITAXEL-INDUCED AXONAL DEGENERATION,NINDS,8776529,1F31NS089152-01,1,F31,NS,89152,1,,,11629967,"GORNSTEIN, ERICA LYNN",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,TUNING OF INHIBITORY SYNAPTIC TRANSMISSION AT THE PRESYNAPTIC ACTIVE ZONE,NINDS,8776993,1F31NS089077-01,1,F31,NS,89077,1,,,11978769,"HELD, RICHARD GUY",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,DISSECTING THE FUNCTIONAL ROLES OF TWO BH3-BINDING SITES ON PRO-APOPTOTIC BAX,NCI,8782999,1F31CA189651-01,1,F31,CA,189651,1,,,11958361,"PRITZ, JONATHAN R",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,FUNCTIONAL ANALYSIS OF THE CONSERVED TRANSCRIPTION ELONGATION FACTOR SPN1,NIGMS,8783212,1F31GM112370-01,1,F31,GM,112370,1,,,11651221,"REIM RODRIGUEZ, NATALIA ISABEL",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34786,
Havard,INVESTIGATING MERKEL CELL POLYOMAVIRUS SMALL T ANTIGEN-HOST INTERACTIONS,NCI,8653425,5F31CA177274-02,5,F31,CA,177274,2,,,11482612,"BERRIOS, CHRISTIAN JOSE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34816,
Havard,OGLCNAC AS A REGULATOR OF MITOCHONDRIAL MOTILITY IN DIABETIC NEUROPATHY,NINDS,8715417,5F31NS084629-02,5,F31,NS,84629,2,,,11621200,"SU, CATHY ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34816,
Havard,TODDLER AND APELIN SIGNALING DURING ZEBRAFISH GASTRULATION,NICHD,8784314,1F31HD081925-01,1,F31,HD,81925,1,,,11537348,"NORRIS, MEGAN LEIGH",Not Applicable,HARVARD UNIVERSITY, ,2014,34871,
Havard,QUANTIFYING SYNAPTIC REORGANIZATION IN THE DEVELOPING CEREBELLUM USING SERIAL-SECTION SCANNING ELECTRON MICROSCOPY DATA,NINDS,8835694,1F31NS089223-01A1,1,F31,NS,89223,1,A1,,12006052,"WILSON, ALYSSA MICHELLE",Not Applicable,HARVARD UNIVERSITY, ,2014,34950,
Havard,ALTERNATIVE END-JOINING IN DNA REPAIR AND CHROMOSOMAL TRANSLOCATIONS,NCI,8784376,1F30CA189740-01,1,F30,CA,189740,1,,,11980508,"KUMAR, VIPUL ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34970,
Havard,A UBIQUITIN-CONJUGATING ENZYME CRITICAL FOR TERMINAL ERYTHROID DIFFERENTIATION,NHLBI,8779851,1F30HL124980-01,1,F30,HL,124980,1,,,10661782,"NGUYEN, ANTHONY T",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34970,
Havard,LOW-VALUE MEDICAL CARE: THE ROLE OF PROVIDER ORGANIZATIONS,NIA,8783410,1F30AG044106-01A1,1,F30,AG,44106,1,A1,,11321862,"SCHWARTZ, AARON LAWRENCE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34970,
Havard,IDENTIFYING CRITICAL FUNCTIONS OF DISC1 DISRUPTED IN MAJOR MENTAL ILLNESS,NIMH,8829379,1F30MH103890-01A1,1,F30,MH,103890,1,A1,,10160766,"SRIKANTH, PRIYA ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,34996,
Havard,DEFINING THE CD44-STAT3 AXIS IN THE PATHOGENESIS OF TRIPLE-NEGATIVE BREAST CANCER,NCI,8704101,5F30CA180340-02,5,F30,CA,180340,2,,,11596137,"YEH, JENNIFER ELYNN",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,35029,
Havard,A NOVEL ESSENTIAL GENE FOR HUMAN COGNITIVE FUNCTION,NIMH,8743089,5F30MH102909-02,5,F30,MH,102909,2,,,11632011,"COULTER, MICHAEL EDWARD",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,35030,
Havard,DESIGNING BIOLOGICAL CIRCUITS,NIGMS,8787340,3R01GM036373-30S1,3,R01,GM,36373,30,S1,,1865979,"SILVER, PAMELA A",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,37149,
Havard,ENABLING BIOTECHNOLOGIES TO GENERATE NOVEL PHOSPHOGLYCOLIPID ANTIBIOTICS,FIC,8633483,5R03TW009424-02,5,R03,TW,9424,2,,,2206519,"WALKER, SUZANNE ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,38831,
Havard,NEURAL CIRCUITS FOR COMPUTING DOPAMINE PREDICTION ERRORS,NIMH,8841607,5F30MH100729-02,5,F30,MH,100729,2,,,10159314,"ESHEL, NEIR ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,41003,
Havard,THE ROLE OF AGING IN REGULATORY T CELLS DURING SKELETAL MUSCLE REGENERATION,NIA,8803202,5F30AG046045-02,5,F30,AG,46045,2,,,11492780,"KUSWANTO, WILSON F",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,43403,
Havard,MOLECULAR ANALYSIS OF THE FUNCTION OF BRCA1-TONSL COMPLEXES,NCI,8629543,5F30CA167895-03,5,F30,CA,167895,3,,,8756620,"HILL, SARAH JAMES",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,45318,
Havard,ELUCIDATION OF STRUCTURE AND DYNAMICS OF BACTERIAL BIOFILMS BY PARTICLE TRACKING,NIAID,8647359,1F30AI110053-01,1,F30,AI,110053,1,,,11729319,"BIRJINIUK, ALONA ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,47676,
Havard,ATPIF1 INHIBITION AS A THERAPEUTIC STRATEGY FOR MITOCHONDRIAL DYSFUNCTION,NIA,8733419,5F30AG046047-02,5,F30,AG,46047,2,,,11108347,"CHEN, WALTER W",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,47676,
Havard,THE ROLE OF SHORT-TERM PLASTICITY AT THE CALYX OF HELD FOR AUDITORY PROCESSING,NIDCD,8737014,5F30DC013716-02,5,F30,DC,13716,2,,,10659952,"CHU, YUNXIANG ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,47676,
Havard,NETWORK-BASED HEALTH INTERVENTIONS IN RURAL HONDURAS,NIA,8742564,5F30AG046978-02,5,F30,AG,46978,2,,,10865161,"HWONG, ALISON R",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,47676,
Havard,INVESTIGATING BRANCHED CHAIN AMINO ACID METABOLISM IN PANCREATIC CANCER,NCI,8648288,1F30CA183474-01,1,F30,CA,183474,1,,,11108409,"MAYERS, JARED R",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,47676,
Havard,THE ROLE OF FOLLICULIN; TUMOR SUPPRESSOR MUTATED IN BHD; IN MTOR NUTRIENT SENSING,NCI,8706663,5F30CA180754-02,5,F30,CA,180754,2,,,11108466,"TSUN, ZHI-YANG ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,47676,
Havard,ROLE OF THE BRADYKININ PATHWAY IN CRANIOFACIAL DEVELOPMENT,NIDCR,8725637,5F30DE022989-03,5,F30,DE,22989,3,,,11183939,"JACOX, LAURA ANNE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,48476,
Havard,AMINERGIC REGULATION AND NEUROANATOMY OF SOCIAL STATUS IN DROSOPHILA,NIGMS,8646293,1F32GM109777-01,1,F32,GM,109777,1,,,10871671,"GIRALDO, YSABEL MILTON",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,49850,
Havard,DEVELOPMENTAL PROCESSES SHAPING THE LUMINAL SURFACE & STEM CELL ZONES IN THE GUT,NIDDK,8836055,1F32DK103563-01A1,1,F32,DK,103563,1,A1,,12044684,"LEE, CHANGHEE ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,49850,
Havard,SCHIZOPHRENIA INTERNATIONAL RESEARCH SOCIETY SCIENTIFIC CONFERENCE,NIMH,8576468,5R13MH082446-06,5,R13,MH,82446,6,,,1893427,"DELISI, LYNN ELEANOR",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,50000,
Havard,CONTINUOUS EVOLUTION OF BOND-FORMING CATALYSTS,NIGMS,8783648,1F32GM109686-01A1,1,F32,GM,109686,1,A1,,11740522,"AN, CHIHUI ",Not Applicable,HARVARD UNIVERSITY, ,2014,51530,
Havard,MECHANISMS OF SOUND ENCODING IN THE DROSOPHILA BRAIN,NIDCD,8831868,1F32DC013928-01A1,1,F32,DC,13928,1,A1,,9163756,"AZEVEDO, ANTHONY ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,51530,
Havard,ROLE OF FAT3 AT THE INTERSECTION OF NEURONAL MORPHOLOGY AND SYNAPSE LOCALIZATION,NEI,8644420,1F32EY024184-01,1,F32,EY,24184,1,,,9173850,"HENLE, STEVEN J",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,51530,
Havard,FUNCTION AND MECHANISM OF NEURAL SPIKE COHERENCE IN DROSOPHILA,NINDS,8636326,5F32NS083262-02,5,F32,NS,83262,2,,,10219991,"JEANNE, JAMES MCCLURE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,51530,
Havard,TRANSCRIPTIONAL CONTROL OF RETINAL BIPOLAR NEURON DIVERSIFICATION,NEI,8783469,1F32EY024833-01,1,F32,EY,24833,1,,,8946174,"LAPAN, SYLVAIN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,51530,
Havard,FAST AND POWERFUL EXTENSIONS OF MIXED MODEL METHODS FOR GWAS,NHGRI,8712922,1F32HG007805-01,1,F32,HG,7805,1,,,11604346,"LOH, PO-RU ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,51530,
Havard,DISCOVERY OF POTENTIAL THERAPEUTIC AGENTS FROM INSECT-ASSOCIATED SYMBIOTIC BACTER,NIGMS,8714529,1F32GM108415-01A1,1,F32,GM,108415,1,A1,,11436615,"RAMADHAR, TIMOTHY RAMESAR",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,51530,
Havard,INVESTIGATING THE ROLE OF MECP2 IN ACTIVITY-DEPENDENT GENE EXPRESSION,NINDS,8782942,1F32NS089186-01,1,F32,NS,89186,1,,,8926141,"SU, SUSAN C",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,51530,
Havard,SUBSTRATE RECOGNITION BY THE BAM COMPLEX,NIGMS,8712699,1F32GM108258-01A1,1,F32,GM,108258,1,A1,,11635207,"WZOREK, JOSEPH ",Not Applicable,HARVARD UNIVERSITY, ,2014,51530,
Havard,EXPLORING THE ROLE OF NEURONAL ACTIVITY-DEPENDENT ENHANCERS IN BRAIN DEVELOPMENT,NINDS,8780856,1F32NS086270-01A1,1,F32,NS,86270,1,A1,,10157439,"BOULTING, GABRIELLA L",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,ELUCIDATING MECHANISMS OF MITOCHONDRIAL GENE EXPRESSION AT NUCLEOTIDE RESOLUTION,NIGMS,8644654,5F32GM106531-02,5,F32,GM,106531,2,,,11314570,"COUVILLION, MARY ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,BEHAVIORAL AND PHYSIOLOGICAL PREDICTORS OF SUICIDAL BEHAVIOR IN ADOLESCENTS,NIMH,8697142,5F32MH097354-03,5,F32,MH,97354,3,,,9172546,"GLENN, CATHERINE ROSE",Not Applicable,HARVARD UNIVERSITY, ,2014,53282,
Havard,FINE-MAPPING HERITABILITY AT KNOWN DISEASE LOCI WITH CORRELATED MARKERS,NIGMS,8651765,5F32GM106584-02,5,F32,GM,106584,2,,,11504571,"GUSEV, ALEXANDER ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,53282,
Havard,PRIMER SYNTHESIS AND HANDOFF BY BACTERIOPHAGE T7 DNA PRIMASE,NIGMS,8654347,5F32GM101761-03,5,F32,GM,101761,3,,,11028734,"HERNANDEZ, ALFREDO JOSE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,THE CHEMICAL BIOLOGY OF NATURALLY OCCURRING REDOX-ACTIVE SMALL MOLECULES,NIGMS,8732475,5F32GM103010-02,5,F32,GM,103010,2,,,8833365,"HOBERT, ELISSA ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,THE ROLE OF ANIMACY AND SIZE IN THE NEURAL ORGANIZATION OF OBJECT KNOWLEDGE,NEI,8685010,5F32EY022863-02,5,F32,EY,22863,2,,,11170861,"KONKLE, TALIA ",Not Applicable,HARVARD UNIVERSITY, ,2014,53282,
Havard,DIRECT STIMULATION OF BACTERIAL METABOLISM WITH APPLIED ELECTRICAL CURRENT,NIGMS,8627970,5F32GM105122-02,5,F32,GM,105122,2,,,11325355,"MACKELLAR, DREW CARL",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,SYNAPTIC MECHANISMS OF TOUCH PROCESSING IN DROSOPHILA,NINDS,8782828,1F32NS089259-01,1,F32,NS,89259,1,,,12025298,"TUTHILL, JOHN COMBER",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,DEVELOPMENT OF CATEGORY-SELECTIVE DOMAINS IN INFEROTEMPORAL CORTEX,NEI,8780057,1F32EY024187-01A1,1,F32,EY,24187,1,A1,,10098768,"VINCENT, JUSTIN L",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,53282,
Havard,ENZYME DELIVERY WITH SUPERCHARGED PROTEINS TO ADDRESS CITRULLINEMIA,NIGMS,8765621,5F32GM106601-02,5,F32,GM,106601,2,,,11496724,"ZURIS, JOHN ",Not Applicable,HARVARD UNIVERSITY, ,2014,53282,
Havard,PHOSPHORYLATION AND ACETYLATION OF SECRETED BACTERIAL PROTEINS: A NEW REGULATORY,NIAID,8778792,1F32AI109850-01A1,1,F32,AI,109850,1,A1,,11042010,"BOUTTE, CARA CHENEY",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,55094,
Havard,INTERROGATION OF FUNCTIONAL ASPECTS OF TRANSCRIPTION AT HETEROCHROMATIC LOCI,NIGMS,8635377,5F32GM101794-03,5,F32,GM,101794,3,,,11050343,"CONNOLLY, KEITH MICHAEL",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,55094,
Havard,TUFT CELLS IN INTESTINAL HOMEOSTASIS,NIDDK,8648400,5F32DK098826-02,5,F32,DK,98826,2,,,7852453,"HOWITT, MICHAEL R",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,55094,
Havard,NEURONAL DYNAMICS OF VISUAL ATTENTION AND EYE MOVEMENTS,NEI,8720776,5F32EY022529-03,5,F32,EY,22529,3,,,9819531,"MAYO, JOSEPH PATRICK",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,55094,
Havard,CHARACTERIZATION OF DISULFIDE-BOND FORMATION IN MYCOBACTERIA,NIGMS,8711095,5F32GM108443-02,5,F32,GM,108443,2,,,11108155,"MEEHAN, BRIAN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,55094,
Havard,MOLECULAR PATTERNING AND SPECIFICATION OF THE FOVEA DURING RETINAL DEVELOPMENT.,NEI,8708507,5F32EY023911-02,5,F32,EY,23911,2,,,8457305,"MUNDELL, NATHAN A.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,55094,
Havard,MECHANISTIC STUDIES OF THE FUNCTION OF DESMOSTEROL HOMEOSTASIS IN HCV REPLICATION,NIAID,8652834,5F32AI106178-02,5,F32,AI,106178,2,,,10907270,"VILLAREAL, VALERIE ANNE AGUSTINO",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,55094,
Havard,THE EVOLUTIONARY DYNAMICS OF PLASMID UPTAKE IN PATHOGENIC BACTERIA,NIAID,8695286,5F32AI102520-05,5,F32,AI,102520,5,,,11053537,"WEINBERGER, ARIEL ",Not Applicable,HARVARD UNIVERSITY, ,2014,55094,
